2024-04-18 06:33:34:INFO: step:    4580	 loss: 11.75	 lr: 0.0007546	 spent: 7.9 seconds
2024-04-18 06:33:42:INFO: step:    4600	 loss: 10.01	 lr: 0.0007511	 spent: 7.7 seconds
2024-04-18 06:33:50:INFO: step:    4620	 loss: 10.17	 lr: 0.0007476	 spent: 7.9 seconds
2024-04-18 06:33:58:INFO: step:    4640	 loss: 10.56	 lr: 0.0007440	 spent: 8.0 seconds
2024-04-18 06:34:06:INFO: step:    4660	 loss: 9.99	 lr: 0.0007405	 spent: 7.9 seconds
2024-04-18 06:34:13:INFO: step:    4680	 loss: 10.47	 lr: 0.0007368	 spent: 7.7 seconds
2024-04-18 06:34:21:INFO: step:    4700	 loss: 10.27	 lr: 0.0007332	 spent: 7.9 seconds
2024-04-18 06:34:29:INFO: step:    4720	 loss: 9.80	 lr: 0.0007295	 spent: 7.8 seconds
2024-04-18 06:34:37:INFO: step:    4740	 loss: 9.41	 lr: 0.0007258	 spent: 8.4 seconds
2024-04-18 06:34:45:INFO: step:    4760	 loss: 11.18	 lr: 0.0007221	 spent: 7.7 seconds
2024-04-18 06:34:53:INFO: step:    4780	 loss: 10.84	 lr: 0.0007183	 spent: 7.7 seconds
2024-04-18 06:35:01:INFO: step:    4800	 loss: 10.63	 lr: 0.0007145	 spent: 7.7 seconds
2024-04-18 06:35:08:INFO: step:    4820	 loss: 10.40	 lr: 0.0007107	 spent: 7.8 seconds
2024-04-18 06:35:16:INFO: step:    4840	 loss: 10.53	 lr: 0.0007068	 spent: 7.8 seconds
2024-04-18 06:35:24:INFO: step:    4860	 loss: 8.85	 lr: 0.0007029	 spent: 7.7 seconds
2024-04-18 06:35:32:INFO: step:    4880	 loss: 9.41	 lr: 0.0006990	 spent: 7.8 seconds
2024-04-18 06:35:39:INFO: step:    4900	 loss: 9.67	 lr: 0.0006951	 spent: 7.7 seconds
2024-04-18 06:35:47:INFO: step:    4920	 loss: 10.41	 lr: 0.0006911	 spent: 8.0 seconds
2024-04-18 06:35:55:INFO: step:    4940	 loss: 10.19	 lr: 0.0006871	 spent: 7.8 seconds
